1390498975.160 |      0 | 172.17.10.242 | TCP_DENIED/407 | 4680 | GET | http://retrofm.ru/online/air/playlist.js? | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | http://retrofm.ru/online/player.php?q=64
1390498975.178 |      0 | 172.17.10.242 | TCP_DENIED/407 | 5012 | GET | http://retrofm.ru/online/air/playlist.js? | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | http://retrofm.ru/online/player.php?q=64
1390498975.284 |  17664 | 172.17.10.242 | TCP_MISS/200 | 510 | POST | http://q89.queuev4.vk.com/im367 | fvv002 | HIER_DIRECT/87.240.134.170 | text/javascript | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | http://q89.queuev4.vk.com/q_frame.php?7
1390498975.306 |      0 | 172.17.10.242 | TCP_DENIED/407 | 4670 | POST | http://q89.queuev4.vk.com/im367 | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | http://q89.queuev4.vk.com/q_frame.php?7
1390498975.314 |    121 | 172.17.10.242 | TCP_MISS/200 | 1056 | GET | http://retrofm.ru/online/air/playlist.js? | fvv002 | HIER_DIRECT/188.64.170.165 | application/x-javascript | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | http://retrofm.ru/online/player.php?q=64
1390498975.321 |      0 | 172.17.10.242 | TCP_DENIED/407 | 5002 | POST | http://q89.queuev4.vk.com/im367 | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | http://q89.queuev4.vk.com/q_frame.php?7
1390498975.873 |      0 | 172.17.11.235 | TCP_DENIED/407 | 5520 | GET | http://portal.mail.ru/NaviData? | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 YaBrowser/13.10.1500.9323 Safari/537.36" | http://otvet.mail.ru/question/47916368
1390498975.891 |      0 | 172.17.11.235 | TCP_DENIED/407 | 5852 | GET | http://portal.mail.ru/NaviData? | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 YaBrowser/13.10.1500.9323 Safari/537.36" | http://otvet.mail.ru/question/47916368
1390498976.052 |    154 | 172.17.11.235 | TCP_MISS/200 | 1099 | GET | http://portal.mail.ru/NaviData? | sia007 | HIER_DIRECT/217.69.139.59 | application/x-javascript | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 YaBrowser/13.10.1500.9323 Safari/537.36" | http://otvet.mail.ru/question/47916368
1390498976.188 |      0 | 172.17.11.183 | TCP_DENIED/407 | 5963 | POST | http://vk.com/al_widget_comments.php | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | http://vk.com/widget_comments.php?app=1916480&width=600px&_ver=1&limit=20&height=0&mini=auto&norealtime=0&page=2963917045&status_publish=1&attach=&url=http%3A%2F%2Fradiopotok.ru%2Fradio%2F85%2F&title=%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%BE%D0%B5%20%D1%80%D0%B0%D0%B4%D0%B8%D0%BE%20%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD%20%D1%81%D0%BB%D1%83%D1%88%D0%B0%D1%82%D1%8C%20%D0%B1%D0%B5%D1%81%D0%BF%D0%BB%D0%B0%D1%82%D0%BD%D0%BE&description=%D0%A3%D0%B4%D0%BE%D0%B1%D0%BD%D0%BE%D0%B5%20%D0%BF%D1%80%D0%BE%D1%81%D0%BB%D1%83%D1%88%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD%20%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%20%D1%80%D0%B0%D0%B4%D0%B8%D0%BE%3A%20%D0%B1%D0%B5%D1%81%D0%BF%D0%BB%D0%B0%D1%82%D0%BD%D0%BE%20%D0%B8%20%D0%B1%D0%B5%D0%B7%20%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%B8&image=http%3A%2F%2Fradiopotok.ru%2Ff%2Fstation%2F85.jpg&143bd717d85
1390498976.203 |      0 | 172.17.11.183 | TCP_DENIED/407 | 6295 | POST | http://vk.com/al_widget_comments.php | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | http://vk.com/widget_comments.php?app=1916480&width=600px&_ver=1&limit=20&height=0&mini=auto&norealtime=0&page=2963917045&status_publish=1&attach=&url=http%3A%2F%2Fradiopotok.ru%2Fradio%2F85%2F&title=%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%BE%D0%B5%20%D1%80%D0%B0%D0%B4%D0%B8%D0%BE%20%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD%20%D1%81%D0%BB%D1%83%D1%88%D0%B0%D1%82%D1%8C%20%D0%B1%D0%B5%D1%81%D0%BF%D0%BB%D0%B0%D1%82%D0%BD%D0%BE&description=%D0%A3%D0%B4%D0%BE%D0%B1%D0%BD%D0%BE%D0%B5%20%D0%BF%D1%80%D0%BE%D1%81%D0%BB%D1%83%D1%88%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD%20%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%20%D1%80%D0%B0%D0%B4%D0%B8%D0%BE%3A%20%D0%B1%D0%B5%D1%81%D0%BF%D0%BB%D0%B0%D1%82%D0%BD%D0%BE%20%D0%B8%20%D0%B1%D0%B5%D0%B7%20%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%B8&image=http%3A%2F%2Fradiopotok.ru%2Ff%2Fstation%2F85.jpg&143bd717d85
1390498976.343 |  25141 | 172.17.12.200 | TCP_MISS/200 | 381 | POST | http://q2.queuev4.vk.com/im035 | bav005 | HIER_DIRECT/87.240.134.99 | text/javascript | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 YaBrowser/13.10.1500.9323 Safari/537.36" | http://q2.queuev4.vk.com/q_frame.php?7
1390498976.373 |    162 | 172.17.11.183 | TCP_MISS/200 | 507 | POST | http://vk.com/al_widget_comments.php | ksv006 | HIER_DIRECT/87.240.131.97 | text/plain | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | http://vk.com/widget_comments.php?app=1916480&width=600px&_ver=1&limit=20&height=0&mini=auto&norealtime=0&page=2963917045&status_publish=1&attach=&url=http%3A%2F%2Fradiopotok.ru%2Fradio%2F85%2F&title=%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%BE%D0%B5%20%D1%80%D0%B0%D0%B4%D0%B8%D0%BE%20%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD%20%D1%81%D0%BB%D1%83%D1%88%D0%B0%D1%82%D1%8C%20%D0%B1%D0%B5%D1%81%D0%BF%D0%BB%D0%B0%D1%82%D0%BD%D0%BE&description=%D0%A3%D0%B4%D0%BE%D0%B1%D0%BD%D0%BE%D0%B5%20%D0%BF%D1%80%D0%BE%D1%81%D0%BB%D1%83%D1%88%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD%20%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%20%D1%80%D0%B0%D0%B4%D0%B8%D0%BE%3A%20%D0%B1%D0%B5%D1%81%D0%BF%D0%BB%D0%B0%D1%82%D0%BD%D0%BE%20%D0%B8%20%D0%B1%D0%B5%D0%B7%20%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%B8&image=http%3A%2F%2Fradiopotok.ru%2Ff%2Fstation%2F85.jpg&143bd717d85
